,FirstObjectDistance_X,FirstObjectDistance_Y,SecondObjectDistance_X,SecondObjectDistance_Y,ThirdObjectDistance_X,ThirdObjectDistance_Y,FourthObjectDistance_X,FourthObjectDistance_Y,VehicleSpeed,FirstObjectSpeed_X,FirstObjectSpeed_Y,SecondObjectSpeed_X,SecondObjectSpeed_Y,ThirdObjectSpeed_X,ThirdObjectSpeed_Y,FourthObjectSpeed_X,FourthObjectSpeed_Y,YawRate,Timestamp
0,8211,1444,5455,-1153,3103,-1237,12024,1715,0,-2,0,4,1,1,7,7,0,0,33.24150366
1,8208,1443,5455,-1153,3102,-1237,0,0,0,-4,0,-2,3,0,6,0,0,0,33.33595952
2,8211,1444,5453,-1160,3104,-1232,0,0,0,-3,0,-1,-9,5,8,0,0,0,33.42972533
3,8209,1445,5452,-1166,3104,-1232,0,0,0,-4,0,0,-14,3,12,0,0,0,33.52276921
4,8209,1445,5452,-1167,3106,-1225,0,0,0,0,1,0,-11,8,16,0,0,0,33.61871549
5,8208,1446,5453,-1169,3101,-1230,0,0,0,3,1,1,-8,0,-3,0,0,0,33.71547368
6,8207,1444,5452,-1173,3096,-1231,8312,150,0,1,1,-5,-8,-2,-18,-251,1,0,33.81275482
7,8208,1443,5452,-1170,3091,-1234,8294,145,0,7,0,-6,0,-8,-19,-231,-4,0,33.91177878
8,8208,1446,5452,-1167,3085,-1236,0,0,0,4,1,-7,4,-12,-29,0,0,0,34.00865996
9,8205,1445,5452,-1167,3078,-1241,0,0,0,3,0,0,-2,-17,-33,0,0,0,34.10609708
10,8203,1444,5452,-1165,3073,-1242,5897,-1483,0,-2,0,4,-1,-18,-39,-2,7,0,34.20280928
11,8202,1446,5450,-1173,3067,-1241,5894,-1477,0,2,1,0,-8,-17,-34,1,5,0,34.30003442
12,8199,1442,5451,-1173,3062,-1240,5893,-1482,0,1,0,1,-6,-19,-33,6,-3,0,34.39529477
13,8202,1445,5452,-1170,3055,-1244,5892,-1482,0,-3,1,2,1,-20,-38,-2,7,0,34.49498853
14,8205,1443,5451,-1179,3050,-1239,5884,-1476,0,1,0,3,-10,-16,-35,-2,3,0,34.59044168
15,8204,1444,5452,-1171,3043,-1242,5883,-1458,0,0,0,3,6,-19,-29,-4,19,0,34.68705797
16,8204,1448,5451,-1175,3037,-1240,5883,-1466,0,0,1,0,1,-17,-28,4,4,0,34.7840153
17,8203,1444,5451,-1174,3033,-1235,5879,-1471,0,-3,0,0,1,-13,-23,0,-2,0,34.88199575
18,8204,1445,5453,-1165,3028,-1230,5881,-1466,0,-2,0,-6,17,-8,-16,-3,9,0,34.97947714
19,8205,1444,5453,-1162,3024,-1225,5881,-1469,0,3,0,-2,14,-8,-14,0,3,0,35.07691152
20,8205,1442,5453,-1156,3028,-1221,5881,-1467,0,1,0,0,12,4,5,-3,6,0,35.17399987
21,8202,1441,5456,-1154,3032,-1217,5881,-1466,0,0,-1,-5,16,10,17,3,3,0,35.26958304
22,8203,1441,5454,-1159,3027,-1214,5883,-1468,0,2,0,5,-6,4,17,-19,19,0,35.36691741
23,8207,1442,5457,-1155,3030,-1210,5886,-1457,0,10,0,16,-3,10,21,2,15,0,35.46439965
24,8208,1443,5455,-1166,3034,-1204,5880,-1456,0,12,1,2,-6,16,27,7,-2,0,35.56279068
25,8208,1445,5450,-1179,3037,-1204,5877,-1458,0,-5,0,15,-28,15,32,-1,-2,0,35.66178378
26,8209,1443,5451,-1175,3031,-1204,5879,-1456,0,-2,0,7,-3,9,11,-4,6,0,35.76033584
27,8209,1442,5451,-1182,3025,-1204,5880,-1457,0,0,0,5,-9,4,4,-3,4,0,35.85745373
28,8210,1443,5454,-1178,3020,-1204,5882,-1454,0,5,0,7,0,3,-13,1,5,0,35.95469263
29,8209,1443,5448,-1189,0,0,5884,-1447,0,1,0,-3,-11,0,0,3,9,0,36.05111645
30,8207,1441,5442,-1197,0,0,5879,-1446,0,0,-1,-14,-13,0,0,3,0,0,36.14772528
31,8207,1441,5442,-1210,0,0,5879,-1449,0,0,0,-10,-24,0,0,0,0,0,36.24499419
32,8207,1441,5445,-1211,0,0,5879,-1455,0,0,0,9,-24,0,0,3,-7,0,36.34247713
33,8207,1440,5448,-1200,4651,-1215,5879,-1465,0,1,0,2,0,-4,-7,-4,-10,0,36.44078008
34,8219,1460,5451,-1192,4650,-1218,5876,-1467,0,-3,1,-1,12,-3,-11,-9,-7,0,36.53955946
35,8215,1449,5455,-1177,4650,-1218,5875,-1477,0,1,-2,9,21,-1,-8,-10,-13,0,36.63787579
36,8216,1445,5457,-1174,4650,-1225,5875,-1480,0,4,-3,3,21,1,-17,-8,-12,0,36.73644914
37,8216,1443,5458,-1174,4649,-1226,5868,-1482,0,3,-3,-2,18,1,-14,-13,-15,0,36.83402539
38,8216,1444,5456,-1182,4652,-1212,5868,-1491,0,0,-1,16,-15,3,12,-11,-15,0,36.93292878
39,8216,1444,5450,-1190,4653,-1207,5868,-1495,0,6,-1,-7,-11,6,12,-7,-15,0,37.02924889
40,8216,1445,5448,-1196,4656,-1195,5871,-1482,0,5,0,-8,-14,8,22,-3,2,0,37.12533499
41,8214,1446,5441,-1209,4656,-1192,5871,-1451,0,3,1,-6,-29,8,19,5,18,0,37.22271922
42,8214,1447,5437,-1216,4657,-1186,5874,-1445,0,4,1,6,-37,7,21,5,21,0,37.31860629
43,8213,1447,0,0,4657,-1189,5874,-1452,0,4,1,0,0,5,8,4,7,0,37.41643956
44,8213,1446,0,0,4656,-1195,5871,-1434,0,1,0,0,0,0,2,7,14,0,37.51311938
45,8213,1444,0,0,4655,-1199,5870,-1415,0,-3,-1,0,0,-8,1,14,18,0,37.61123549
46,8213,1443,5766,-1342,4656,-1192,5869,-1403,0,-1,-1,14,29,1,4,12,22,0,37.70954061
47,8213,1445,5765,-1346,4655,-1199,0,0,0,0,1,8,15,-3,-4,0,0,0,37.80781673
48,8212,1444,5770,-1333,4656,-1194,0,0,0,-2,0,1,30,1,0,0,0,0,37.90438466
49,8212,1445,5769,-1333,4657,-1182,0,0,0,-2,0,4,10,3,12,0,0,0,38.00178369
50,8211,1445,5774,-1315,4657,-1182,5444,-1192,0,2,1,7,24,4,8,8,-6,0,38.10014982
51,8208,1442,5778,-1309,4656,-1185,5443,-1195,0,1,0,3,24,0,2,-6,3,0,38.19873598
52,8209,1442,5774,-1323,0,0,0,0,0,5,0,6,0,0,0,0,0,0,38.29560994
53,8207,1440,5768,-1333,5443,-1187,0,0,0,-2,-1,-4,-9,-3,6,0,0,0,38.39256191
54,8203,1440,5765,-1344,5448,-1175,0,0,0,-3,0,-7,-17,7,14,0,0,0,38.48997618
55,8207,1442,5763,-1345,5446,-1181,0,0,0,4,0,0,-18,4,2,0,0,0,38.58919312
56,8208,1445,5760,-1355,0,0,0,0,0,-3,0,-8,-20,0,0,0,0,0,38.68567678
57,8208,1444,5756,-1369,0,0,0,0,0,-2,0,-15,-21,0,0,0,0,0,38.78309553
58,8208,1446,5752,-1377,0,0,0,0,0,2,1,-13,-25,0,0,0,0,0,38.87996123
59,8207,1444,5757,-1372,0,0,0,0,0,2,0,-4,-12,0,0,0,0,0,38.97880013
60,8205,1441,5752,-1389,0,0,0,0,0,3,-1,-16,-18,0,0,0,0,0,39.07716198
61,8205,1443,5749,-1396,0,0,0,0,0,2,0,-10,-24,0,0,0,0,0,39.17690497
62,8201,1442,5746,-1407,0,0,0,0,0,1,0,-6,-31,0,0,0,0,0,39.27224252
63,8204,1443,5745,-1403,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,39.36804211
64,8204,1445,5743,-1403,0,0,0,0,0,-1,1,-8,-6,0,0,0,0,0,39.46577553
65,8205,1441,5742,-1407,0,0,0,0,0,2,-1,5,-15,0,0,0,0,0,39.56269102
66,8204,1440,5742,-1398,0,0,0,0,0,2,-1,2,1,0,0,0,0,0,39.65978652
67,8203,1441,5740,-1398,0,0,0,0,0,6,0,0,1,0,0,0,0,0,39.75720407
68,8203,1441,5737,-1404,0,0,0,0,0,-3,0,-7,0,0,0,0,0,0,39.8544706
69,8204,1440,5735,-1410,0,0,0,0,0,2,0,-2,-9,0,0,0,0,0,39.94922883
70,8204,1442,5736,-1389,0,0,0,0,0,1,1,5,5,0,0,0,0,0,40.04657137
71,8205,1441,5732,-1371,0,0,0,0,0,1,0,5,11,0,0,0,0,0,40.14370288
72,8202,1439,5730,-1372,0,0,0,0,0,-1,0,2,8,0,0,0,0,0,40.24026833
73,8199,1440,5729,-1375,0,0,0,0,0,-1,0,10,-1,0,0,0,0,0,40.33761086
74,8196,1440,5727,-1381,0,0,0,0,0,-2,1,14,-9,0,0,0,0,0,40.43427431
75,8194,1440,5729,-1348,0,0,0,0,0,-5,1,14,16,0,0,0,0,0,40.52990111
76,8194,1439,5729,-1338,0,0,0,0,0,6,1,0,26,0,0,0,0,0,40.62762115
77,8195,1441,5730,-1329,0,0,0,0,0,2,1,4,21,0,0,0,0,0,40.72474813
78,8196,1440,5736,-1292,0,0,0,0,0,-2,0,15,38,0,0,0,0,0,40.82077098
79,8192,1438,5737,-1296,0,0,0,0,0,-3,0,11,23,0,0,0,0,0,40.91775794
80,8193,1438,5736,-1295,0,0,0,0,0,4,0,15,15,0,0,0,0,0,41.01400082
81,8193,1437,5731,-1288,0,0,0,0,0,0,-1,5,14,0,0,0,0,0,41.11128581
82,8195,1441,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,41.2085308
83,8195,1441,8320,-48,0,0,0,0,0,3,1,87,23,0,0,0,0,0,41.30605482
84,8191,1440,8323,-47,0,0,0,0,0,2,1,88,18,0,0,0,0,0,41.40316979
85,8191,1440,8329,-46,0,0,0,0,0,3,0,88,10,0,0,0,0,0,41.50069501
86,8191,1440,8333,-46,0,0,0,0,0,4,0,89,7,0,0,0,0,0,41.59760025
87,8193,1441,8375,-41,0,0,0,0,0,-4,0,102,7,0,0,0,0,0,41.69664374
88,8193,1441,8379,-41,0,0,0,0,0,-3,0,102,5,0,0,0,0,0,41.79297791
89,8193,1442,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,41.8903072
90,8192,1442,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,41.98650535
91,8189,1439,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,42.08394165
92,8192,1440,10301,-1453,0,0,0,0,0,2,0,8,3,0,0,0,0,0,42.181794
93,8189,1438,10302,-1460,0,0,0,0,0,0,0,5,-1,0,0,0,0,0,42.27903028
94,8188,1439,10305,-1439,0,0,0,0,0,-3,0,-2,9,0,0,0,0,0,42.3749504
95,8185,1437,10259,-1459,0,0,0,0,0,-5,-1,3,-9,0,0,0,0,0,42.47226459
96,8185,1436,10266,-1468,0,0,0,0,0,-6,-1,15,-12,0,0,0,0,0,42.56916368
97,8188,1437,10269,-1486,0,0,0,0,0,-5,-1,-7,-9,0,0,0,0,0,42.66425679
98,8189,1439,10241,-1485,0,0,0,0,0,0,1,-5,-14,0,0,0,0,0,42.76037589
99,8191,1439,10244,-1495,0,0,0,0,0,6,1,-6,-13,0,0,0,0,0,42.855661
100,8192,1441,10222,-1505,0,0,0,0,0,2,1,5,-23,0,0,0,0,0,42.9513741
101,8192,1440,10229,-1507,0,0,0,0,0,1,0,5,-13,0,0,0,0,0,43.04798919
102,8189,1439,10237,-1502,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,43.14414829
103,8189,1438,10215,-1502,0,0,0,0,0,-2,0,3,-7,0,0,0,0,0,43.23993939
104,8189,1437,10223,-1504,0,0,0,0,0,-2,0,-1,1,0,0,0,0,0,43.33654648
105,8189,1437,10230,-1503,0,0,0,0,0,0,0,13,0,0,0,0,0,0,43.43366977
106,8188,1438,10235,-1512,0,0,0,0,0,9,1,15,-1,0,0,0,0,0,43.530729
107,8184,1438,10209,-1511,0,0,0,0,0,8,1,-8,-5,0,0,0,0,0,43.62825127
108,8188,1440,10188,-1513,0,0,0,0,0,0,1,2,-13,0,0,0,0,0,43.72496447
109,8188,1438,10198,-1520,0,0,0,0,0,2,0,-2,-3,0,0,0,0,0,43.82206471
110,8190,1438,10208,-1531,0,0,0,0,0,2,0,8,-6,0,0,0,0,0,43.91952797
111,8192,1438,10217,-1529,0,0,0,0,0,1,0,0,5,0,0,0,0,0,44.01750828
112,8192,1439,10198,-1520,0,0,0,0,0,-2,0,-14,4,0,0,0,0,0,44.11489154
113,8188,1437,10207,-1532,0,0,0,0,0,-4,0,-7,-2,0,0,0,0,0,44.21336089
114,8187,1438,10216,-1531,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,44.31000209
115,8187,1438,10225,-1535,0,0,0,0,0,-6,0,9,-1,0,0,0,0,0,44.4067583
116,8188,1438,10231,-1528,0,0,0,0,0,-2,1,8,5,0,0,0,0,0,44.50369619
117,8189,1439,10211,-1518,0,0,0,0,0,1,0,-10,5,0,0,0,0,0,44.60215108
118,8191,1441,10223,-1516,0,0,0,0,0,3,1,22,2,0,0,0,0,0,44.6995819
119,8191,1440,10231,-1516,0,0,0,0,0,-4,0,3,12,0,0,0,0,0,44.79639366
120,8192,1440,10225,-1492,0,0,0,0,0,0,0,-3,19,0,0,0,0,0,44.89329643
121,8192,1440,10201,-1495,0,0,0,0,0,2,0,-11,2,0,0,0,0,0,44.99037622
122,8192,1439,10185,-1486,0,0,0,0,0,1,0,11,-5,0,0,0,0,0,45.08531583
123,8188,1439,10182,-1488,0,0,0,0,0,-2,0,15,-5,0,0,0,0,0,45.1822276
124,8190,1440,10196,-1489,0,0,0,0,0,-1,0,-7,6,0,0,0,0,0,45.27928338
125,8190,1441,10204,-1496,0,0,0,0,0,-3,0,-8,4,0,0,0,0,0,45.37728624
126,8192,1441,10215,-1501,0,0,0,0,0,4,1,4,1,0,0,0,0,0,45.47557392
127,8192,1442,10220,-1518,0,0,0,0,0,2,0,2,-5,0,0,0,0,0,45.57379434
128,8193,1442,10228,-1516,0,0,0,0,0,-4,0,6,-1,0,0,0,0,0,45.67141572
129,8189,1439,10235,-1509,0,0,0,0,0,-6,-1,-4,7,0,0,0,0,0,45.76889409
130,8194,1440,10240,-1510,0,0,0,0,0,5,0,-2,4,0,0,0,0,0,45.86665148
131,8194,1439,10218,-1501,0,0,0,0,0,-1,-1,-2,-2,0,0,0,0,0,45.96277374
132,8193,1438,10198,-1497,0,0,0,0,0,-2,-1,-11,-4,0,0,0,0,0,46.05998409
133,8194,1440,10205,-1506,0,0,0,0,0,0,0,-7,-4,0,0,0,0,0,46.15730044
134,8190,1439,10216,-1500,0,0,0,0,0,-2,0,5,1,0,0,0,0,0,46.25427277
135,8190,1440,10225,-1494,0,0,0,0,0,-2,0,-8,9,0,0,0,0,0,46.35140011
136,8192,1439,10232,-1497,0,0,0,0,0,-3,0,-3,4,0,0,0,0,0,46.44857406
137,8192,1440,10239,-1501,0,0,0,0,0,-4,0,3,3,0,0,0,0,0,46.54660815
138,8193,1439,10245,-1499,0,0,0,0,0,0,0,2,5,0,0,0,0,0,46.64405221
139,8192,1438,10251,-1489,0,0,0,0,0,2,0,4,9,0,0,0,0,0,46.74047023
140,8194,1440,10256,-1492,0,0,0,0,0,1,1,4,5,0,0,0,0,0,46.83712225
141,8196,1440,10260,-1498,0,0,0,0,0,8,1,10,0,0,0,0,0,0,46.93500234
142,8197,1442,10265,-1496,0,0,0,0,0,2,1,8,2,0,0,0,0,0,47.03201038
143,8196,1441,10269,-1495,0,0,0,0,0,-3,0,0,4,0,0,0,0,0,47.12885341
144,8195,1442,10272,-1490,0,0,0,0,0,0,0,-6,8,0,0,0,0,0,47.22367634
145,8196,1442,10274,-1488,0,0,0,0,0,1,0,-4,4,0,0,0,0,0,47.32028636
146,8192,1439,10274,-1492,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,47.41629035
147,8201,1442,10278,-1480,0,0,0,0,0,44,3,-3,8,0,0,0,0,0,47.51380813
148,8199,1443,10280,-1482,0,0,0,0,0,46,3,2,4,0,0,0,0,0,47.60835402
149,8202,1443,10282,-1477,0,0,0,0,0,20,0,-2,6,0,0,0,0,0,47.70360496
150,8201,1444,10285,-1469,0,0,0,0,0,-3,-2,-1,9,0,0,0,0,0,47.79920592
151,8202,1444,10286,-1470,0,0,0,0,0,15,0,-2,5,0,0,0,0,0,47.89728207
152,8199,1444,10289,-1459,0,0,0,0,0,-3,-1,10,7,0,0,0,0,0,47.99494418
153,8198,1444,10290,-1461,0,0,0,0,0,-8,-1,3,5,0,0,0,0,0,48.09252829
154,8193,1441,10291,-1453,0,0,0,0,0,-10,-1,8,6,0,0,0,0,0,48.18837527
155,8195,1442,10283,-1465,0,0,0,0,0,-23,-1,-36,10,0,0,0,0,0,48.28566136
156,8189,1442,10278,-1463,0,0,0,0,0,-26,0,-23,3,0,0,0,0,0,48.38253141
157,8187,1444,10277,-1468,0,0,0,0,0,-42,0,-23,-1,0,0,0,0,0,48.48010307
158,8185,1445,10270,-1466,0,0,0,0,0,-46,0,-41,2,0,0,0,0,0,48.57790732
159,8184,1444,10265,-1454,0,0,0,0,27,-52,0,-56,8,0,0,0,0,0,48.67592458
160,8182,1447,10256,-1459,0,0,0,0,48,-71,2,-74,-9,0,0,0,0,0,48.77374382
161,8175,1444,10259,-1454,0,0,0,0,64,-84,1,-79,-4,0,0,0,0,0,48.87099701
162,8168,1444,10249,-1456,0,0,0,0,75,-104,1,-96,-6,0,0,0,0,0,48.96769316
163,8164,1446,10231,-1448,0,0,0,0,88,-116,1,-115,-5,0,0,0,0,0,49.06370225
164,8157,1446,10220,-1457,0,0,0,0,103,-134,1,-121,-12,0,0,0,0,0,49.16114447
165,8160,1462,10211,-1458,0,0,0,0,121,-124,3,-131,-11,0,0,0,0,0,49.2589087
166,8153,1457,10196,-1473,0,0,0,0,145,-145,-1,-165,-12,0,0,0,0,0,49.357319
167,8147,1457,10187,-1477,0,0,0,0,170,-165,0,-173,-14,0,0,0,0,0,49.45586778
168,8135,1459,10170,-1482,0,0,0,0,193,-197,0,-196,-14,0,0,0,0,0,49.55518302
169,8124,1457,10153,-1482,0,0,0,0,216,-211,0,-215,-14,0,0,0,0,0,49.65253514
170,8113,1459,10115,-1474,0,0,0,0,237,-240,0,-236,-16,0,0,0,0,0,49.74985426
171,8103,1466,10087,-1459,0,0,0,0,254,-253,25,-248,16,0,0,0,0,-0.001342773438,49.84701437
172,8082,1466,10053,-1447,0,0,0,0,274,-283,23,-270,22,0,0,0,0,-0.001342773438,49.94247437
